policy,run_tag,segment_idx,variant,yaal
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,138,ca,4472.9330
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,139,cu,643.6667
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,139,ca,2080.7339
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,140,cu,828.7778
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,140,ca,2217.8111
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,141,cu,749.3704
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,141,ca,2208.5344
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,142,cu,620.2735
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,142,ca,1945.6777
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,143,cu,1045.8562
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,143,ca,1553.3810
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,144,cu,-267.3125
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,144,ca,991.1284
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,145,cu,-131.4531
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,145,ca,1291.6628
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,146,cu,172.0000
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,147,cu,864.8068
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,147,ca,2229.8959
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,148,cu,971.7500
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,148,ca,2948.1119
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,149,cu,1098.7500
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,149,ca,2047.7756
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,150,cu,727.2857
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,150,ca,2002.0945
